File Name,20240122_162754_CT029692_20220214.pcrd,,,,
Created By User,,,,,
Notes,,,,,
ID,,,,,
Run Started,01/23/2024 00:28:07 UTC,,,,
Run Ended,01/23/2024 03:34:05 UTC,,,,
Sample Vol,25,,,,
Lid Temp,105,,,,
Protocol File Name,Unknown.prcl,,,,
Plate Setup File Name,DefaultPlate.pltd,,,,
Base Serial Number,CT029692,,,,
Optical Head Serial Number,785BR17446,,,,
CFX Maestro Version,4.1.2433.1219. ,,,,
,,,,,
Well group,All Wells,,,,
Amplification step,4,,,,
Melt step,8,,,,
,,,,,
,,,,,
Well,Fluor,Target,Content,Sample,Cq
A04,SYBR,FoxD3,Unkn,Pool5_Neg,28.5860891583107
A05,SYBR,FoxD3,Unkn,Pool5_Neg,28.6774902909198
A06,SYBR,FoxD3,Unkn,Pool5_Neg,28.6382956462437
A07,SYBR,Snai2,Unkn,Pool5_Neg,28.0966723977493
A08,SYBR,Snai2,Unkn,Pool5_Neg,30.3032709495818
A09,SYBR,Snai2,Unkn,Pool5_Neg,32.8154999188232
A10,SYBR,GAPDH,Unkn,Pool5_Neg,21.0637054323242
A11,SYBR,GAPDH,Unkn,Pool5_Neg,21.0632349516235
A12,SYBR,GAPDH,Unkn,Pool5_Neg,20.2448689997902
B01,SYBR,Sox10,Unkn,Pool5_10%,30.8919412564592
B02,SYBR,Sox10,Unkn,Pool5_10%,30.5978397336981
B03,SYBR,Sox10,Unkn,Pool5_10%,30.7190896111248
B04,SYBR,FoxD3,Unkn,Pool5_10%,28.86953363074
B05,SYBR,FoxD3,Unkn,Pool5_10%,29.0769978739321
B06,SYBR,FoxD3,Unkn,Pool5_10%,29.3114834200721
B07,SYBR,Snai2,Unkn,Pool5_10%,33.8896375170544
B08,SYBR,Snai2,Unkn,Pool5_10%,33.7477066423777
B09,SYBR,Snai2,Unkn,Pool5_10%,31.5908982635505
B10,SYBR,GAPDH,Unkn,Pool5_10%,22.3019588131458
B11,SYBR,GAPDH,Unkn,Pool5_10%,22.142587053221
B12,SYBR,GAPDH,Unkn,Pool5_10%,22.2850849025669
C01,SYBR,Sox10,Unkn,Pool5_5%,29.0569931523585
C02,SYBR,Sox10,Unkn,Pool5_5%,28.9350737954538
C03,SYBR,Sox10,Unkn,Pool5_5%,28.8894270672706
C04,SYBR,FoxD3,Unkn,Pool5_5%,29.2249653560183
C05,SYBR,FoxD3,Unkn,Pool5_5%,29.3730200546792
C06,SYBR,FoxD3,Unkn,Pool5_5%,28.9133586843813
C07,SYBR,Snai2,Unkn,Pool5_5%,32.0040838473237
C08,SYBR,Snai2,Unkn,Pool5_5%,36.6544153110713
C09,SYBR,Snai2,Unkn,Pool5_5%,30.2453731503824
C10,SYBR,GAPDH,Unkn,Pool5_5%,22.8681853355275
